Epochs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
Reward,-8.86,-8.43,-2.21,-4.81,-4.9,-6.980000000000001,-7.3500000000000005,-5.679999999999998,-3.080000000000001,-9.41,-4.11,-9.010000000000002,-6.300000000000001,-3.1699999999999995,-3.69,-1.0999999999999994,-8.280000000000001,-3.66,-8.0,-15.760000000000003,-14.600000000000003,-6.630000000000001,-5.66,-7.84,-4.970000000000001,-16.67,-2.379999999999999,-4.990000000000002,-17.75,-7.790000000000001,-3.75,-18.98,-1.8000000000000023,-2.810000000000001,-6.279999999999999,-2.7900000000000005,-6.760000000000002,-4.33,-7.330000000000001,-5.56,-9.080000000000002,-5.81,-5.670000000000002,-2.2800000000000002,-8.639999999999999,-6.870000000000003,-16.73,-5.07,-12.169999999999998,-6.780000000000001,-15.86,-4.56,-7.759999999999999,-10.85,-11.93,-4.1000000000000005,-19.99,-7.0600000000000005,-12.19,-9.260000000000002,-12.14,-10.74,-14.98,-9.190000000000001,-5.240000000000001,-7.8999999999999995,-10.370000000000001,-8.47,-20.61,-4.34,-9.99,-12.379999999999999,-16.71,-12.34,-6.63,-19.450000000000003,-6.74,-15.269999999999998,-8.179999999999998,-10.99,-14.54,-2.5599999999999996,-15.130000000000003,-13.05,-20.640000000000004,-2.6799999999999997,-18.53,-18.950000000000003,-20.68,-9.660000000000002,-26.589999999999996,-13.130000000000003,-21.069999999999997,-11.669999999999998,-17.87,-27.56,-14.170000000000003,-19.91,-20.760000000000005,-23.88,-6.670000000000002,-18.7,-13.360000000000003,-2.4800000000000004,-6.359999999999999,-3.6800000000000006,-8.1,-3.2999999999999994,-4.680000000000001,-7.48,-7.86,-10.530000000000001,-27.920000000000005,-9.470000000000002,-14.169999999999998,-12.400000000000002,-13.979999999999997,-8.959999999999997,-19.010000000000005,-21.290000000000006,-25.6,-15.32,-25.299999999999997,-14.900000000000002,-22.46,-39.5,-9.07,-18.650000000000002,-26.44,-18.100000000000005,-22.740000000000002,-10.41,-17.250000000000004,-18.33,-14.530000000000001,-11.349999999999998,-18.6,-11.7,-14.970000000000002,-14.460000000000003,-11.900000000000004,-14.860000000000001,-33.3,-14.34,-16.319999999999997,-9.309999999999999,-13.42,-3.2500000000000013,-13.449999999999998,-26.520000000000003,-12.559999999999999,-13.61,-14.080000000000002,-12.090000000000002,-12.989999999999998,-14.21,-18.61,-13.290000000000003,-17.91,-18.150000000000002,-16.41,-17.49,-17.22,-16.709999999999997,-18.43,-15.86,-17.96,-18.389999999999997,-16.490000000000002,-16.38,-18.520000000000003,-9.31,-17.779999999999998,-13.21,-14.540000000000001,-14.71,-13.459999999999997,-11.839999999999998,-18.110000000000003,-13.420000000000002,-13.270000000000001,-14.08,-12.529999999999998,-13.240000000000002,-12.0,-13.520000000000003,-13.23,-15.189999999999998,-14.45,-14.56,-17.580000000000002,-13.02,-18.29,-29.27,-5.3500000000000005,-10.340000000000002,-7.840000000000002,-16.029999999999998,-30.419999999999998,-43.470000000000006,-9.059999999999999,-14.129999999999999,-12.850000000000001,-14.099999999999998,-18.91,-16.15,-19.400000000000002,-8.65,-18.51,-17.849999999999998,-13.330000000000002,-19.630000000000003,-4.1,-18.17,-17.790000000000003,-13.98,-15.510000000000002,-5.070000000000002,-13.130000000000003,-15.489999999999998,-17.500000000000004,-10.510000000000002,-13.190000000000001,-18.389999999999997,-8.27,-18.87,-12.729999999999999,-13.549999999999999,-16.33,-15.780000000000001,-13.399999999999999,-11.87,-17.36,-13.35,-17.42,-16.610000000000003,-12.85,-13.689999999999998,-14.390000000000002,-13.860000000000003,-18.779999999999998,-15.2,-18.42,-17.36,-18.66,-16.39,-18.49,-34.99000000000001,-30.21,-29.22,-13.290000000000001,-18.12,-11.200000000000001,-16.58,-13.25,-9.43,-15.180000000000001,-17.01,-13.250000000000002,-16.229999999999997,-15.780000000000003,-18.4,-11.260000000000002,-12.890000000000002,-13.060000000000002,-18.290000000000006,-12.41,-14.37,-18.000000000000004,-12.75,-16.09,-18.45,-17.59,-9.23,-13.559999999999997,-13.710000000000003,-16.85,-8.3,-18.630000000000003,-12.180000000000001,-12.590000000000002,-13.62,-13.219999999999999,-8.59,-13.01,-6.5,-7.149999999999999,-6.72,-4.38,-3.69,-5.59,-8.200000000000001,-9.21,-8.49,-7.870000000000002,-6.359999999999999,-11.22,-8.57,-18.320000000000004,-14.26
seq2seqLoss
system_accumulated_waiting_times,1639.0,1833.0,1567.0,1757.0,1370.0,1869.0,1944.0,1484.0,1279.0,2285.0,1165.0,1821.0,1244.0,1329.0,1311.0,1290.0,1775.0,1679.0,2148.0,2401.0,2525.0,1488.0,1791.0,1671.0,1531.0,2378.0,1347.0,1625.0,2228.0,1803.0,1457.0,2488.0,1586.0,2040.0,1706.0,1332.0,2251.0,1398.0,1707.0,1925.0,1967.0,1853.0,1840.0,1300.0,1827.0,2053.0,2467.0,1113.0,2221.0,1960.0,2538.0,1915.0,1765.0,2002.0,2168.0,1591.0,2710.0,1440.0,2580.0,2051.0,2504.0,2007.0,2372.0,1748.0,1562.0,1683.0,2250.0,1855.0,3377.0,1125.0,2005.0,2130.0,2486.0,2178.0,2147.0,3084.0,1521.0,2929.0,1924.0,2112.0,2649.0,944.0,2147.0,2528.0,3411.0,1099.0,2535.0,2929.0,3337.0,2429.0,3507.0,1484.0,2842.0,2360.0,3235.0,3656.0,2437.0,2998.0,3347.0,3680.0,1209.0,2717.0,1895.0,1365.0,1257.0,990.0,1146.0,1254.0,1162.0,926.0,1343.0,2092.0,3629.0,1325.0,1552.0,2158.0,1686.0,1778.0,1975.0,3509.0,3797.0,3233.0,4015.0,1802.0,3448.0,4781.0,1472.0,1938.0,4373.0,2073.0,2647.0,1570.0,1789.0,1902.0,1586.0,1266.0,2016.0,1280.0,1738.0,1641.0,1629.0,1939.0,4409.0,1579.0,1672.0,1207.0,1698.0,825.0,1574.0,2981.0,1632.0,1472.0,1515.0,1561.0,1644.0,1522.0,1898.0,1602.0,1807.0,1848.0,1682.0,1778.0,1763.0,1726.0,1888.0,1628.0,1826.0,1858.0,1740.0,1699.0,1876.0,1206.0,1923.0,1850.0,1636.0,1602.0,1724.0,1648.0,1868.0,1649.0,1752.0,1546.0,1573.0,1682.0,1596.0,1488.0,1635.0,1629.0,1703.0,1663.0,1786.0,1422.0,1871.0,3468.0,840.0,1291.0,960.0,1892.0,3281.0,4712.0,1287.0,1642.0,1609.0,1550.0,1928.0,1741.0,1956.0,1286.0,1875.0,1856.0,1700.0,1984.0,1256.0,1841.0,1835.0,1636.0,1728.0,1331.0,1704.0,1644.0,1783.0,1509.0,1456.0,1867.0,1598.0,1941.0,1817.0,1788.0,1696.0,1658.0,1596.0,1452.0,1777.0,1601.0,1860.0,1884.0,1666.0,1463.0,1847.0,1490.0,1924.0,1623.0,1913.0,1769.0,1878.0,1763.0,1894.0,4426.0,3249.0,3447.0,1703.0,1839.0,1541.0,1720.0,1592.0,1476.0,1726.0,1914.0,1587.0,1763.0,1653.0,1865.0,1331.0,1441.0,1626.0,1854.0,1480.0,1637.0,1836.0,1520.0,1865.0,1865.0,1808.0,1226.0,1717.0,1749.0,1928.0,1145.0,1886.0,1480.0,1599.0,1681.0,1762.0,1541.0,1693.0,934.0,1342.0,1108.0,1068.0,995.0,1021.0,1022.0,1445.0,1307.0,1469.0,1233.0,1227.0,1562.0,1890.0,2082.0
system_total_stopped,27,22,13,19,11,21,20,18,13,24,16,22,26,19,13,6,16,16,13,27,32,22,22,24,25,37,9,15,37,23,20,40,11,15,21,17,25,19,20,27,27,17,24,15,20,25,39,23,31,28,43,24,28,28,29,13,49,21,31,17,31,29,45,29,23,21,27,23,32,18,35,36,30,35,28,40,20,33,19,31,23,12,36,36,34,15,48,44,45,25,56,23,45,27,37,47,22,53,41,40,19,43,25,12,14,14,23,10,11,22,19,20,54,21,23,26,29,16,27,33,58,27,49,31,44,71,17,27,43,32,46,23,26,28,28,24,26,24,25,26,20,26,62,25,26,17,22,9,26,49,19,24,26,22,23,26,28,21,28,28,27,28,27,27,28,27,27,29,25,28,28,19,27,29,24,27,22,18,27,22,23,25,21,23,20,25,25,26,24,24,31,25,26,53,15,24,15,22,50,79,23,23,22,24,27,25,29,19,29,30,25,30,12,29,26,24,29,15,21,27,26,22,20,26,12,30,20,23,25,29,20,24,27,25,27,25,20,28,19,23,28,26,27,27,31,27,26,56,50,48,22,26,22,26,23,19,23,26,22,28,27,28,27,25,21,28,25,26,28,20,23,26,26,21,24,23,24,15,28,28,20,20,25,15,22,19,11,17,15,10,9,18,19,19,13,12,20,20,26,28
system_mean_waiting_time,5.34965034965035,4.395833333333333,1.1619718309859155,3.1971830985915495,2.6950354609929077,1.7692307692307692,2.9295774647887325,2.4305555555555554,1.1958041958041958,2.93006993006993,2.055944055944056,5.951048951048951,4.232394366197183,2.034965034965035,1.5862068965517242,0.2847222222222222,3.5724137931034483,1.6137931034482758,2.197278911564626,9.317241379310344,7.555555555555555,3.7588652482269502,3.048611111111111,4.641379310344828,3.1468531468531467,11.331034482758621,1.2535211267605635,2.889655172413793,12.104166666666666,3.406896551724138,2.354609929078014,12.930555555555555,0.8263888888888888,1.1388888888888888,3.8194444444444446,1.3958333333333333,2.937062937062937,1.7972027972027973,3.773049645390071,3.2222222222222223,6.225352112676056,3.5602836879432624,3.1586206896551725,1.2671232876712328,3.6013986013986012,3.117241379310345,11.223776223776223,3.119718309859155,7.923611111111111,2.251700680272109,10.664335664335665,3.076923076923077,4.777777777777778,7.354166666666667,7.479166666666667,1.1655172413793105,13.572413793103449,4.710344827586207,6.055172413793104,2.5517241379310347,5.8321678321678325,6.972602739726027,9.876712328767123,5.289655172413793,2.3125,5.243055555555555,4.388888888888889,3.263888888888889,8.26530612244898,2.732394366197183,4.0979020979020975,7.8321678321678325,10.097222222222221,7.853146853146853,3.232876712328767,9.572413793103449,2.7183098591549295,8.328671328671328,4.020833333333333,5.943661971830986,4.6482758620689655,1.132867132867133,10.110344827586207,8.520833333333334,8.986394557823129,1.6267605633802817,11.75,11.046979865771812,13.441379310344828,4.597222222222222,16.67808219178082,9.020979020979022,13.993197278911564,3.9726027397260273,6.664383561643835,17.027397260273972,5.151724137931034,12.979166666666666,9.993288590604028,11.482758620689655,4.23448275862069,12.082758620689654,9.04225352112676,0.8391608391608392,4.119718309859155,2.104895104895105,5.297872340425532,1.4154929577464788,2.992957746478873,5.212765957446808,5.333333333333333,4.691780821917808,18.333333333333332,6.570422535211268,10.00709219858156,7.9361702127659575,9.685314685314685,5.232876712328767,13.251748251748252,7.258503401360544,14.698630136986301,6.380952380952381,14.884353741496598,10.29861111111111,13.56081081081081,24.12751677852349,5.638888888888889,12.986013986013987,14.819444444444445,12.815602836879433,14.42361111111111,6.76056338028169,11.86896551724138,12.797202797202797,10.28368794326241,7.840277777777778,12.8125,8.21830985915493,10.342657342657343,10.071428571428571,7.595744680851064,9.836879432624114,16.026845637583893,10.134751773049645,11.471830985915492,6.285714285714286,8.229166666666666,2.1631205673758864,9.391608391608392,18.237762237762237,8.783216783216783,9.54225352112676,9.887323943661972,8.223776223776223,8.056338028169014,9.79861111111111,12.916666666666666,9.382978723404255,12.416666666666666,12.517241379310345,11.528169014084508,12.160839160839162,11.909722222222221,11.964028776978417,12.846153846153847,11.06993006993007,12.72340425531915,13.121428571428572,11.409722222222221,11.52112676056338,13.134751773049645,6.429577464788732,12.560283687943262,8.619718309859154,9.972413793103449,10.258741258741258,9.186206896551724,7.406896551724138,12.725352112676056,9.373239436619718,9.083333333333334,9.73611111111111,8.872340425531915,8.902097902097902,7.859154929577465,9.397163120567376,8.944055944055943,10.552447552447552,9.923076923076923,9.921985815602836,12.251748251748252,8.993055555555555,12.666666666666666,18.32867132867133,3.4895104895104896,7.24113475177305,5.26056338028169,9.441379310344828,20.631944444444443,29.34013605442177,5.277777777777778,9.503496503496503,8.708333333333334,9.762237762237762,13.464285714285714,11.194444444444445,13.472222222222221,5.602836879432624,12.895104895104895,12.384615384615385,9.105633802816902,13.517241379310345,1.8391608391608392,12.851063829787234,12.528169014084508,9.706293706293707,10.852112676056338,2.4722222222222223,8.633802816901408,10.894366197183098,12.145833333333334,6.034246575342466,9.333333333333334,12.743055555555555,4.73943661971831,13.146853146853147,8.462068965517242,8.805555555555555,11.377622377622378,10.773972602739725,9.237762237762238,8.333333333333334,12.304964539007091,9.092857142857143,12.04861111111111,11.647887323943662,8.875,9.626760563380282,8.534722222222221,9.601398601398602,13.01388888888889,10.72340425531915,12.874125874125873,11.972413793103449,12.86896551724138,11.26388888888889,13.078014184397164,22.9375,21.083916083916083,19.14965986394558,8.835714285714285,12.615384615384615,7.697183098591549,11.594405594405595,9.006849315068493,6.267605633802817,9.845070422535212,11.867132867132867,9.304964539007091,11.307692307692308,10.909722222222221,12.853146853146853,7.731034482758621,9.078014184397164,9.140845070422536,12.680555555555555,8.44055944055944,10.007042253521126,12.669014084507042,8.902097902097902,9.929577464788732,13.070921985815604,12.330985915492958,6.453900709219858,9.041958041958042,9.21830985915493,11.70138888888889,5.7622377622377625,12.827586206896552,8.464788732394366,8.755244755244755,9.342657342657343,8.979020979020978,5.50354609929078,8.609929078014185,4.539007092198582,4.34965034965035,4.126760563380282,2.6666666666666665,1.3125,3.356164383561644,5.572413793103448,6.291666666666667,5.894366197183099,4.636363636363637,4.34965034965035,7.4,3.73943661971831,13.071428571428571,9.078014184397164
system_mean_speed,7.73768210275966,8.349738414637116,9.141363607858581,8.399028078195148,8.89534676609425,8.139706812222443,8.331911730760345,8.462189192477785,8.961461950477858,7.95528805892741,8.794368417094221,8.363706951447206,7.910714324098539,8.429035491090342,8.698402976781288,9.670836615492869,8.400242610602572,8.768239595033068,8.909541839722197,7.958635395693425,7.577789461762832,7.832959523444367,8.276204533413354,7.888241513903431,8.205407402573696,7.494034045828849,9.004190520842482,8.845209251445494,7.034634534332078,7.9440868316461,8.316538362109576,7.1943219947772015,9.11088098592803,8.860887759691286,8.154660215239947,8.733983104320103,8.360773922506672,8.580162683332619,7.901690565806912,8.015352311940243,8.012719096712202,8.32039071770629,8.086283838821256,8.859442096023692,8.090502156222524,8.046403029591755,7.052092005009285,8.253027603563273,7.672725748849587,7.835546093094797,6.883875525120889,8.27631398946309,7.7273794717488435,8.089047884871796,7.82067477536743,8.798032295326196,6.622501083674493,8.400569676421819,7.59166291266869,8.203881694512058,7.4920954294498525,7.956179384671368,6.780686486356304,8.14175789065188,8.12015435819841,8.46927471789319,7.746325318078473,8.385964153353468,7.075993045217403,8.366686184425998,7.152529264694767,7.063724242888232,7.533457050584654,7.376561898901817,7.779101492077589,6.834133355902777,8.396728000451438,7.126057755210757,7.793064027830116,7.324368388806876,7.64931176768348,9.068540997109967,7.540306421104654,7.257566659736306,6.954340987812143,8.487310716459929,6.512728412369175,6.925729534544091,6.801115475744813,7.598221486341911,6.053266551049236,8.722823614634406,6.71519118973328,7.898847837805345,6.871729477018907,6.242690852750742,7.6772317572701,6.186782966200553,6.529301305826237,6.281178968597191,8.943750100088257,6.83266231268873,7.89836432750143,9.011278773050973,8.896202244098953,8.733968252095114,8.38121273090671,9.508990058931,9.185536037100759,8.558976942209826,8.498900716962822,8.236839053595258,5.982850565483569,8.314250622362646,8.202644239526146,7.990723896506313,7.8275253671614315,8.780921216298252,8.15670978215905,6.805539456575385,5.934231490542699,7.60525881000446,6.32138114775441,7.693516407814567,6.68408318212272,4.71389512712843,8.880341027163187,8.200413380510454,6.399028573267669,7.8194847825897655,6.978069815228324,8.362074504126989,8.249192323837915,8.196632181085992,8.024064047079378,8.366795827164001,8.40649636462626,8.246855719833306,7.9871764192834345,8.20408802744102,8.72736702142347,8.215472663871333,5.484898766560198,8.12911443001599,8.118146328450505,8.871424043780527,8.499142917572916,9.306425129252258,8.239154766753177,6.7642392105147895,8.520694625478402,8.485195816277276,8.2126471924785,8.752778495398074,8.354730875974512,8.36992050031731,8.016753625786015,8.609393761593006,8.117156970511925,8.27610523305522,7.890659615665575,8.213323524708668,8.084821438295645,8.275838840623353,7.8232896988705685,8.18955992151187,8.001415486584673,7.635139702758566,8.254572615735759,8.122170669040555,7.959354977402785,8.705052965897934,8.142716774209523,7.929614553718494,8.243158956589316,8.244413519442944,8.54082244238544,8.783430680549982,8.358030296746014,8.53065762886778,8.498692706779607,8.33010058033297,8.813624428599391,8.411001275983924,8.787399965771922,8.190668380319789,8.380489844466,8.285124614849092,8.37894534542446,8.333354866221821,7.6934915409557885,8.390985249445258,8.247044106621011,5.908613049853629,8.86650241925875,8.334699196666943,8.995591342417239,8.207350458758402,6.4503387403051375,4.378715081344724,8.404298697886702,8.675189945043218,8.454926609422621,8.029180475839828,7.952923926733677,8.463138282400598,7.908519399706228,8.433405092289243,8.057442736525077,8.20275369043048,8.1911521044018,7.976662591197184,9.06525367059747,8.150134947006,8.218553096532121,8.263775555191076,7.992523097465174,8.8595245843078,8.719106390340002,7.990245942146247,8.264817743039982,8.440036393393935,8.723478314184199,7.937925358246421,9.08669638792761,7.921102888314941,8.513204252473638,8.392992294368481,8.32440087271988,8.247696931864047,8.713594699909764,8.329884387159401,8.278205430291441,8.415058877273632,8.261419862768635,8.137961507501299,8.651317348974622,7.9645791406860615,8.516251990044733,8.492530656050718,8.066248108318284,8.197853871734901,8.198661698410822,8.122834889523412,7.878671955005832,8.113030502982268,8.147496278431593,6.067906643860048,6.774053334728828,6.405889853406669,8.55908382798272,8.23998951372468,8.640936658328277,8.112426412348379,8.575505966103387,8.582866323678903,8.309645400305207,8.222450504120516,8.749144617657342,8.175495244776137,8.031053680482074,8.083183710354822,8.142977197547586,8.197026403484767,8.615847836249829,8.095259652532503,8.336725788610368,8.173190254505567,8.139770908844483,8.741973167735509,8.337102270981125,8.096729633421107,8.148790621969944,8.65843179692072,8.520047979903199,8.438938668834641,8.560364368826365,8.866444629275177,8.260315445613124,8.04513985313886,8.829378023099974,8.653760833572022,8.164221582312557,8.905181719722266,8.468193727180951,8.558334926082843,8.96679128579949,8.768350378398617,8.640943338356754,9.154792958260183,9.13247853831391,8.832591882947652,8.788088625957066,8.774865315673791,9.022263019015758,9.168938963576773,8.422016311715028,8.06032677481656,8.10945820767396,7.942927585958173
