Epochs,Reward,seq2seqLoss,system_accumulated_waiting_times,system_total_stopped,system_mean_waiting_time,system_mean_speed
0,-33.18999999999999,0,16978.0,53.94444444444444,3.325098820244705,7.896507978773128
1,-72.08,0,18211.0,57.513888888888886,4.061927809828571,7.911225027311847
2,-19.419999999999998,0,12797.0,41.791666666666664,2.0297063977251804,8.291181658962175
3,-42.95000000000003,0,17923.0,56.666666666666664,3.63033661602442,7.765989822341122
4,-27.519999999999985,0,15111.0,48.638888888888886,3.1399393494135532,8.083062340840563
5,-60.42,0,16824.0,55.55555555555556,3.1346775026668094,7.95565440001143
6,-58.53,0,17483.0,55.30555555555556,3.6948182781800494,7.924055109715563
7,-69.05000000000001,0,17417.0,54.77777777777778,4.190512359513416,7.97279555504188
8,-85.37,0,18661.0,60.458333333333336,3.8443644372814165,7.816093669014164
