Epochs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299
Reward,-23.610000000000003,-2.28,-9.930000000000001,-12.379999999999999,-4.569999999999999,-5.370000000000001,-3.8000000000000016,-4.500000000000001,-1.9000000000000004,-3.5999999999999996,-7.85,-9.389999999999999,-2.9099999999999997,-2.2699999999999996,-5.37,-3.660000000000002,-2.910000000000001,-3.31,-8.39,-5.56,-5.23,-3.259999999999999,-3.8699999999999988,-5.189999999999998,-4.039999999999999,-4.26,-4.12,-4.55,-3.0500000000000003,-19.21,-4.24,-8.489999999999998,-2.49,-4.42,-6.93,-5.500000000000002,-5.93,-2.940000000000001,-2.7800000000000007,-9.420000000000002,-7.45,-1.9100000000000008,-2.64,-2.4200000000000004,-3.3399999999999994,-5.94,-6.290000000000001,-14.5,-3.9799999999999995,-3.8800000000000012,-2.9799999999999995,-5.050000000000001,-8.950000000000001,-4.489999999999999,-3.0300000000000002,-7.73,-1.6799999999999993,-5.38,-3.6299999999999994,-7.330000000000001,-3.6299999999999994,-8.0,-18.580000000000002,-10.530000000000001,-5.169999999999999,-6.620000000000001,-4.33,-3.690000000000001,-5.409999999999999,-3.2900000000000005,-3.1100000000000003,-2.3,-2.7300000000000004,-5.160000000000001,-13.280000000000001,-5.460000000000001,-6.9399999999999995,-9.58,-11.019999999999998,-9.090000000000002,-6.7299999999999995,-5.880000000000001,-2.4099999999999997,-7.350000000000001,-9.370000000000001,-16.500000000000004,-10.900000000000002,-9.22,-6.029999999999998,-5.010000000000001,-6.17,-2.3400000000000003,-8.31,-22.71,-24.040000000000003,-23.439999999999998,-6.430000000000001,-5.32,-11.67,-11.060000000000002,-29.919999999999998,-31.130000000000003,-19.250000000000004,-5.63,-3.89,-6.500000000000002,-8.38,-7.780000000000001,-8.540000000000001,-5.77,-12.95,-5.0600000000000005,-15.070000000000002,-9.129999999999997,-6.18,-8.929999999999998,-10.360000000000001,-13.650000000000006,-5.489999999999999,-7.839999999999999,-8.52,-5.280000000000001,-9.56,-15.580000000000002,-7.650000000000002,-10.61,-11.02,-15.490000000000002,-11.11,-14.76,-2.59,-8.909999999999998,-5.960000000000001,-15.100000000000003,-24.82,-35.45,-13.929999999999998,-16.62,-18.29,-19.0,-16.830000000000002,-10.299999999999999,-18.29,-26.84,-18.510000000000005,-13.040000000000003,-14.069999999999999,-14.17,-15.120000000000003,-31.790000000000003,-14.960000000000003,-16.599999999999998,-11.03,-17.549999999999997,-6.93,-16.8,-5.18,-16.610000000000003,-11.12,-18.419999999999998,-10.25,-11.89,-8.839999999999998,-18.33,-2.8200000000000003,-14.21,-15.290000000000001,-16.08,-12.859999999999998,-18.300000000000004,-8.550000000000002,-18.13,-2.3600000000000017,-18.450000000000003,-4.63,-17.080000000000005,-4.5200000000000005,-15.780000000000001,-9.050000000000004,-16.96,-8.200000000000001,-12.56,-13.6,-12.290000000000003,-16.160000000000004,-2.410000000000001,-15.64,-1.8900000000000012,-14.299999999999997,-1.34,-12.7,-1.4000000000000004,-18.270000000000003,-23.230000000000004,-40.36,-15.090000000000003,-14.399999999999997,-14.859999999999998,-14.799999999999997,-19.15,-18.740000000000002,-9.440000000000001,-11.56,-14.449999999999996,-12.96,-14.71,-18.68,-18.87,-15.83,-12.760000000000002,-13.189999999999998,-15.100000000000001,-15.339999999999998,-13.069999999999999,-18.480000000000004,-21.110000000000003,-18.53,-9.679999999999998,-18.490000000000002,-25.630000000000006,-12.979999999999999,-18.590000000000003,-14.190000000000001,-14.110000000000001,-18.560000000000002,-13.379999999999997,-16.35,-17.790000000000003,-8.59,-14.960000000000003,-2.13,-14.090000000000002,-16.65,-2.3699999999999997,-15.44,-4.02,-12.309999999999999,-8.870000000000001,-9.969999999999999,-10.39,-9.900000000000002,-10.13,-3.390000000000001,-13.529999999999998,-12.36,-7.469999999999999,-18.48,-44.10000000000001,-43.449999999999996,-10.319999999999999,-18.740000000000002,-18.43,-18.6,-14.5,-17.12,-11.36,-18.049999999999997,-8.620000000000001,-14.47,-15.78,-8.84,-11.92,-14.100000000000003,-18.669999999999998,-7.870000000000001,-18.87,-29.290000000000003,-17.869999999999997,-17.79,-18.14,-8.959999999999999,-9.9,-13.45,-10.790000000000001,-13.099999999999998,-11.659999999999998,-13.379999999999999,-14.659999999999998,-9.14,-7.920000000000001,-9.020000000000001,-19.18,-16.98,-8.650000000000002,-17.870000000000005,-7.2,-8.779999999999998,-18.62,-14.33,-16.62,-18.43,-13.920000000000002,-16.91,-13.329999999999998,-5.89,-12.26,-13.32,-19.199999999999996,-14.939999999999998,-18.53
seq2seqLoss
system_accumulated_waiting_times,3108.0,1467.0,2238.0,2176.0,1608.0,1606.0,1459.0,1973.0,1349.0,1169.0,1570.0,2127.0,1157.0,1636.0,1676.0,1733.0,1448.0,1213.0,2065.0,1585.0,1601.0,1095.0,1336.0,1778.0,1289.0,1365.0,1310.0,1441.0,1270.0,2415.0,1313.0,1862.0,736.0,1153.0,1702.0,1460.0,1181.0,1209.0,844.0,1722.0,1702.0,1022.0,978.0,1004.0,1036.0,1127.0,1268.0,2232.0,1152.0,1546.0,1262.0,1362.0,1742.0,986.0,908.0,1347.0,1397.0,1029.0,1111.0,1622.0,959.0,1282.0,2420.0,1956.0,1009.0,1181.0,1116.0,1383.0,1332.0,1304.0,963.0,682.0,1024.0,1050.0,2001.0,1386.0,1004.0,1467.0,2013.0,1285.0,1875.0,1073.0,637.0,1304.0,1798.0,2491.0,2724.0,1292.0,1288.0,1039.0,984.0,1076.0,1303.0,2646.0,3001.0,3283.0,1068.0,1181.0,1491.0,1531.0,3752.0,4186.0,2721.0,1235.0,977.0,1120.0,1387.0,1198.0,1261.0,967.0,1490.0,1201.0,1624.0,1945.0,1406.0,1544.0,1366.0,1572.0,1120.0,1203.0,1397.0,973.0,1434.0,1745.0,1353.0,1278.0,1529.0,1681.0,1715.0,1756.0,598.0,1426.0,1001.0,1595.0,3351.0,3884.0,2051.0,1768.0,1873.0,1954.0,1724.0,1210.0,1866.0,2992.0,1908.0,1516.0,1589.0,1717.0,1649.0,4178.0,1891.0,1789.0,1323.0,1786.0,1159.0,1840.0,1027.0,1784.0,1558.0,1886.0,1427.0,1517.0,1546.0,1880.0,1090.0,1598.0,1806.0,1852.0,1626.0,1903.0,1234.0,1843.0,1049.0,1899.0,797.0,1744.0,819.0,1678.0,1375.0,1735.0,1067.0,1507.0,1497.0,1730.0,1841.0,841.0,1799.0,833.0,1519.0,717.0,1483.0,719.0,1849.0,3051.0,4750.0,1626.0,1480.0,1746.0,2045.0,1952.0,1899.0,1345.0,1572.0,1623.0,1461.0,1692.0,1911.0,1922.0,1635.0,1735.0,1551.0,1730.0,1681.0,1584.0,1908.0,2188.0,1896.0,1343.0,1858.0,2717.0,1574.0,1908.0,1730.0,1562.0,1897.0,1733.0,1643.0,1808.0,1312.0,1708.0,1162.0,1657.0,1876.0,821.0,1633.0,1220.0,1666.0,1573.0,1202.0,1435.0,1660.0,1678.0,901.0,1651.0,1343.0,1211.0,1915.0,4767.0,5263.0,1567.0,1955.0,1902.0,1905.0,1560.0,1789.0,1372.0,1824.0,1425.0,1682.0,1642.0,1421.0,1568.0,1650.0,1897.0,1205.0,1931.0,3026.0,1808.0,1847.0,1908.0,1423.0,1231.0,1808.0,1335.0,1572.0,1679.0,1539.0,1572.0,1104.0,1396.0,1317.0,1948.0,1798.0,1355.0,1817.0,1571.0,1387.0,1899.0,1575.0,1789.0,1895.0,1644.0,1722.0,1585.0,1006.0,1357.0,1746.0,1949.0,1852.0,1893.0
system_total_stopped,54,12,20,25,18,22,20,19,9,16,22,34,12,3,17,20,13,17,18,27,15,16,17,13,21,20,17,18,16,39,20,27,12,13,26,18,21,10,17,26,22,8,8,14,14,15,20,26,17,3,12,14,17,19,11,22,7,19,11,17,19,18,45,28,11,18,14,14,17,13,10,10,14,18,27,21,26,21,32,23,24,15,6,17,21,43,33,18,13,13,18,12,21,37,49,56,17,22,22,21,63,52,35,17,12,14,17,14,19,14,26,17,27,20,15,18,23,26,16,15,15,15,17,33,25,24,28,24,28,24,14,18,14,26,35,62,26,27,27,29,27,24,26,53,28,24,24,23,28,61,28,27,23,29,19,26,15,25,19,26,20,24,17,28,8,23,27,24,22,26,18,28,10,27,20,29,11,27,17,27,17,24,24,21,23,9,25,11,27,10,23,6,27,42,70,24,24,25,26,30,27,20,20,23,24,24,30,27,27,23,25,26,26,22,27,32,27,23,27,43,21,29,23,26,31,21,28,27,25,24,9,26,21,8,25,11,24,19,23,22,19,19,12,22,24,16,27,72,75,17,29,28,28,26,27,18,25,15,25,24,20,22,25,26,20,28,51,26,26,28,20,20,22,18,24,20,23,24,25,17,19,30,25,16,27,10,14,28,26,27,29,24,27,21,19,26,21,26,22,27
system_mean_waiting_time,16.211267605633804,1.0902777777777777,1.6620689655172414,8.289655172413793,2.1027397260273974,3.020979020979021,1.6382978723404256,1.6388888888888888,0.7517241379310344,1.9444444444444444,5.062068965517241,5.63448275862069,1.773972602739726,0.2465753424657534,2.556338028169014,2.2152777777777777,0.7569444444444444,2.075862068965517,3.361111111111111,3.0069444444444446,2.9722222222222223,1.5616438356164384,1.8732394366197183,1.3241379310344827,2.4507042253521125,2.013986013986014,2.2517482517482517,2.8137931034482757,1.4125874125874125,13.352112676056338,2.0273972602739727,5.606896551724138,1.5211267605633803,2.7465753424657535,4.159722222222222,3.5277777777777777,3.7062937062937062,1.9166666666666667,1.6503496503496504,6.381944444444445,4.972413793103448,1.1608391608391608,1.4791666666666667,0.8085106382978723,1.801418439716312,3.1458333333333335,4.21830985915493,7.423611111111111,2.49645390070922,0.3958333333333333,1.7777777777777777,2.8309859154929575,5.583333333333333,2.986013986013986,1.5902777777777777,5.118055555555555,0.8920863309352518,3.5454545454545454,1.6013986013986015,4.208333333333333,2.2344827586206897,3.892857142857143,12.224489795918368,7.0,3.386206896551724,4.251748251748252,1.8297872340425532,1.3835616438356164,3.0625,1.7291666666666667,1.2620689655172415,1.3732394366197183,1.5174825174825175,3.407142857142857,9.041958041958042,2.451388888888889,4.73943661971831,6.506944444444445,6.813793103448276,6.160839160839161,4.0,3.4726027397260273,1.5874125874125875,4.829787234042553,5.8068965517241375,10.384615384615385,6.104166666666667,5.950704225352113,3.5804195804195804,3.263888888888889,4.075342465753424,1.3404255319148937,5.685314685314685,14.358620689655172,15.808219178082192,15.183098591549296,4.2620689655172415,3.528169014084507,6.471830985915493,7.597222222222222,20.28965517241379,16.993150684931507,12.39041095890411,3.5467625899280577,2.4326241134751774,4.453900709219858,5.408450704225352,5.20979020979021,5.851063829787234,3.9027777777777777,8.783216783216783,2.6267605633802815,10.624113475177305,5.424657534246576,3.9310344827586206,5.405594405594406,7.257142857142857,9.465277777777779,3.2847222222222223,4.664383561643835,5.345070422535211,3.7028985507246377,5.676056338028169,10.666666666666666,5.197183098591549,7.195804195804196,7.5625,10.520547945205479,7.014084507042254,10.084507042253522,1.6736111111111112,5.468531468531468,4.171428571428572,10.598591549295774,13.618055555555555,24.158620689655173,8.847222222222221,11.594405594405595,12.593103448275862,13.10344827586207,11.706293706293707,7.21830985915493,12.929078014184396,18.26027397260274,12.79861111111111,8.950704225352112,9.67605633802817,9.013793103448275,10.695035460992909,21.62937062937063,8.76551724137931,11.472222222222221,7.6573426573426575,12.338028169014084,4.808510638297872,11.893617021276595,3.26056338028169,11.552447552447552,7.418439716312057,12.668965517241379,6.711267605633803,7.915492957746479,5.792857142857143,12.804195804195805,1.5611510791366907,9.865248226950355,10.049295774647888,10.041958041958042,8.394366197183098,12.741258741258742,5.4475524475524475,12.73943661971831,1.2937062937062938,12.696551724137931,3.1468531468531467,11.944055944055943,3.00709219858156,11.163120567375886,5.633802816901408,11.75,5.601398601398602,8.510344827586207,9.48951048951049,8.528169014084508,9.808510638297872,1.5,10.97887323943662,1.0972222222222223,10.113475177304965,0.8461538461538461,8.825174825174825,0.9219858156028369,12.666666666666666,16.390070921985817,25.34228187919463,10.496503496503497,9.924137931034483,10.246478873239436,9.620689655172415,13.45774647887324,13.22695035460993,6.042553191489362,7.816901408450704,9.98611111111111,9.04225352112676,10.345070422535212,13.062937062937063,13.471428571428572,11.119718309859154,7.816901408450704,9.13888888888889,10.5177304964539,10.53103448275862,9.048951048951048,13.085106382978724,14.734265734265735,13.113475177304965,6.425531914893617,12.909090909090908,17.551724137931036,8.625,13.141843971631205,9.133802816901408,9.880281690140846,12.854166666666666,9.0,11.514084507042254,12.514084507042254,5.826388888888889,8.664383561643836,1.006993006993007,9.901408450704226,9.965034965034965,1.4265734265734267,10.907801418439716,2.1538461538461537,7.659574468085107,5.078014184397163,7.0,7.1678321678321675,4.964539007092198,5.160839160839161,2.3309859154929575,9.384615384615385,8.687943262411348,5.177304964539007,12.909090909090908,29.8843537414966,28.503355704697988,5.840277777777778,13.19718309859155,12.696551724137931,13.170212765957446,10.126760563380282,11.847222222222221,7.895104895104895,12.608391608391608,4.524475524475524,9.935714285714285,11.056338028169014,6.112676056338028,7.777777777777778,9.41958041958042,13.191489361702128,5.402777777777778,13.181818181818182,20.412587412587413,12.666666666666666,12.664285714285715,12.753521126760564,5.170212765957447,6.804195804195804,8.930555555555555,7.556338028169014,9.104895104895105,6.125874125874126,9.418439716312056,10.223776223776223,6.394366197183099,5.160839160839161,5.73943661971831,13.692857142857143,11.575342465753424,5.486111111111111,12.631205673758865,1.943661971830986,5.702127659574468,13.006993006993007,9.993006993006993,11.427586206896551,12.867132867132867,9.479452054794521,11.648275862068965,9.258741258741258,3.880281690140845,8.454545454545455,9.04225352112676,13.7,9.194444444444445,13.127659574468085
system_mean_speed,6.052798087234562,8.86031826252029,8.048247468447023,7.8226495579917845,8.36559438830167,8.416997927431588,8.266737938282954,8.35081051424837,9.190917328003321,8.89266455364954,8.64907446235635,7.597371336240745,9.028749979794457,9.46703648559423,8.363972965453208,8.537734808890033,9.054277968135672,8.842150176590613,8.375111422053825,8.100978919124914,8.529954493315898,8.84443750433871,8.413030874329348,8.616658710016944,8.518532978591043,8.457771580441666,8.799580899608538,8.479982283039025,8.35628414455251,6.9977702076171875,8.409035200720878,8.152523604560834,9.018578154763306,8.809463743216549,8.109311325832097,8.62448145104607,8.1732839765254,9.087783940369244,8.440099819803017,7.95355176774297,8.407059271183895,9.135672546984418,9.092910505042369,8.914782155478806,8.886573649728305,8.522446590151834,8.409280193838647,7.354898872449449,8.793635855622162,9.17870237152239,9.05449478475827,8.896970028581014,8.442011093854891,8.471492101595995,9.150595175411791,8.452727879697175,9.484746984684868,8.764421233611479,8.759679780088605,8.542583098102384,8.570180191431396,8.651223535881693,6.568700227986249,8.066760660485262,9.278235145212012,8.787005741624856,9.121167638754955,9.100103695592244,9.127550874092663,8.88052807007337,8.909423158445259,9.418649172491836,8.453140332305177,8.59197350432663,8.106119932200864,8.425869739223746,8.151001736957477,8.466858380952791,7.799924247670607,8.408145581166824,8.268008701825623,8.665486045657094,9.401721403813607,8.503563830758194,8.51436119260569,6.644746072098545,7.551489204595839,8.142952138420187,8.672830304814632,9.174977617645908,8.61783949584453,9.07155691120927,8.615506774529708,7.473832100277797,6.465710977306394,5.886317738035954,8.814485126907039,8.706718750501238,8.00465204741517,8.840366439470266,5.520641224695641,5.809343177984344,7.504273693119281,8.877925726098262,9.263590304167993,8.897826677302787,8.959139995041228,8.901893451283383,8.709968381313528,9.155803618674447,7.965790567602927,8.735267551428837,8.020266472447704,8.57530754414901,8.909257481459367,8.92582480801597,8.35364448065837,8.16216885933524,8.848209272740183,8.758546290800068,9.138359797850972,8.851922110538544,8.686876669051914,7.484013707446085,8.210092778318831,7.932140787645935,8.101892921141456,8.155500272394526,7.863711951821846,8.437785795820743,8.9344300756409,8.845950393619438,9.098317091621144,8.189707272223375,7.046472670647869,5.534299699303138,8.075476499891117,8.101439830385722,8.139678174274781,8.197472387648356,8.015613245079177,8.439969523071738,8.09151772273204,6.158588811797212,8.082307365112252,8.405922010177903,8.162957357210301,8.399643665181149,7.9614315544612335,5.642425406530371,7.972932790198602,8.35116717869217,8.538487058758092,7.869303065849209,8.54128363858592,8.28225925670249,9.003076099711347,8.209361276814672,8.356962236047702,8.243559831330591,8.382986479588524,8.230207952903532,8.997011206695321,8.229091107927355,9.373390384101196,8.45654116892681,8.116681685235587,7.933508721212815,8.25533924068817,8.181681338925417,8.733644346368703,8.072568961344722,9.211700491356918,8.172076016498613,8.575217723154044,8.179437425463853,9.235383514398157,8.059512175362725,8.96298762015945,8.064173797641606,8.951769630206073,8.446837970521711,8.223779365497045,8.549096007833402,8.33341746806677,9.358854180190065,8.314232257898754,9.330081296967716,8.13988811241263,9.243194671188709,8.513660817908985,9.808538502531807,8.171102428559502,7.0681104516994,5.1597908106967205,8.470377387042593,8.396794923841977,8.298931562456385,7.925282254925208,7.993334459165198,8.25778078766991,8.776055485019391,8.806296954247872,8.446952559206718,8.31053981379433,8.260541442958829,7.869505330644299,8.167747047007627,8.054095017773669,8.130611080490707,8.157743225626168,8.226399768319265,8.216725177913473,8.578009242069921,8.270035097175274,7.889255440322508,8.317631501393885,8.412795841106954,8.302078424332722,6.870991495333805,8.631326724101756,8.080682042100648,8.349384576368704,8.196993118982633,7.857146121368452,8.418006361816566,8.131891655180288,8.196032946482992,8.060974563747813,8.26894462075941,9.201484653900849,8.39049801041456,8.34802557987556,9.330575778051896,8.243324444497157,9.392966448795352,8.440690656199838,8.624107254362084,8.254588936280198,8.448485586397119,8.611689925534034,8.633411890503167,9.027018998635402,8.45379249157063,8.249260011052465,8.67715345398916,8.252313908286125,5.19228440824186,4.973500847321879,8.948438355416318,7.992297600214747,8.012829983583574,8.14317472765628,8.332921831056106,8.146655087671016,8.779229303762438,8.106019736107049,8.334591086297264,8.277965013570485,8.258646961814232,8.668590059008528,8.515952553224919,8.261682369764793,8.323987373188437,8.616873361028496,8.05444597580958,6.477347847914806,8.029416531865982,8.327604508145301,7.981741594267574,8.852889642937782,8.704251174668704,8.370741886990036,8.93793222547498,8.307206855212666,8.423188030957707,8.597363253050766,8.519947050868103,8.133518150963049,8.808387754356257,8.611831366670359,8.072921743342407,8.132638217597563,8.819527100100569,8.200111629334566,8.903275194566692,8.793445517941397,8.189346127630621,8.308299447678257,8.335643055688083,8.010991065146431,8.283595085377309,8.254609931227348,8.823484461152166,8.731245625227503,8.206217998915562,8.462833105971963,8.291237624330325,8.489796528800865,8.080070373333166
